author,title
"Achor, Shawn *",The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work
"Adams, Douglas","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
"Albom, Mitch *",Tuesdays with Morrie
"Albom, Mitch *",The Five People You Meet in Heaven
"Anderson, James A.",Talking Nets: An Oral History of Neural Networks
"Archer, Jeffrey","Kane & Abel (Kane & Abel, #1)"
"Archer, Jeffrey","Only Time Will Tell (The Clifton Chronicles, #1)"
"Archer, Jeffrey","The Sins of the Father (The Clifton Chronicles, #2)"
"Ariely, Dan",Predictably Irrational: The Hidden Forces That Shape Our Decisions
"Atwood, Margaret *",The Penelopiad
"Austen, Jane",Sense and Sensibility
"Austen, Jane",Pride and Prejudice
"Bach, Richard *",Jonathan Livingston Seagull
"Barker, J.D. *","The Fourth Monkey (4MK Thriller, #1)"
"Benedict, Marie *",The Personal Librarian
"Bilton, Nick *","Hatching Twitter: A True Story of Money, Power, Friendship, and Betrayal"
"Blasim, Hassan",Allah 99
"Boyne, John *",The Boy in the Striped Pajamas
"Bradberry, Travis *",Emotional Intelligence 2.0
"Brennan, Chrisann",The Bite in the Apple: A Memoir of My Life with Steve Jobs
"Brontë, Charlotte",Jane Eyre
"Brooks Jr., Frederick P.",The Mythical Man-Month: Essays on Software Engineering
"Brooks, David","The Social Animal: The Hidden Sources of Love, Character, and Achievement"
"Brooks, David",The Road to Character
"Brown, Brené *","Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead"
"Brown, Brené *",Rising Strong: The Reckoning. The Rumble. The Revolution.
"Brown, Dan *","The Da Vinci Code (Robert Langdon, #2)"
"Brown, Dan *","Angels & Demons (Robert Langdon, #1)"
"Brown, Dan *","Origin (Robert Langdon, #5)"
"Bulgakov, Mikhail",The Master and Margarita
"Burgess, Anthony",A Clockwork Orange
"Cabane, Olivia Fox",The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism
"Cain, Susan *",Quiet: The Power of Introverts in a World That Can't Stop Talking
"Camus, Albert",The Stranger
"Carnegie, Dale",How to Win Friends and Influence People
"Chbosky, Stephen",The Perks of Being a Wallflower
"Chevalier, Tracy *",Girl with a Pearl Earring
"Clavell, James",Shōgun
"Coelho, Paulo *",Eleven Minutes
"Coelho, Paulo *",Veronika Decides to Die
"Coelho, Paulo *",The Alchemist
"Cognetti, Paolo *",The Eight Mountains
"Collins, James C.",Good to Great: Why Some Companies Make the Leap... and Others Don't
"Collins, Suzanne","The Hunger Games (The Hunger Games, #1)"
"Collins, Suzanne","Catching Fire (The Hunger Games, #2)"
"Collins, Suzanne","Mockingjay (The Hunger Games, #3)"
"Colvin, Geoff",Talent is Overrated: What Really Separates World-Class Performers from Everybody Else
"Covey, Stephen R.",The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
"Coyle, Daniel *","The Talent Code: Unlocking the Secret of Skill in Sports, Art, Music, Math, and Just About Everything Else"
"Csikszentmihalyi, Mihaly",Flow: The Psychology of Optimal Experience
"Day, Sylvia *","Bared to You (Crossfire, #1)"
"de Botton, Alain *",The Course of Love
"Diamant, Anita *",The Red Tent
"Díaz, Junot",The Brief Wondrous Life of Oscar Wao
"Doerr, Anthony *",All the Light We Cannot See
"Donoghue, Emma *",Room
"Dostoevsky, Fyodor","Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead"
